173
0.000	-0.000
0.107	-2.497
0.214	-9.989
0.321	-22.474
0.429	-39.954
0.536	-62.429
0.643	-89.898
0.750	-122.361
0.857	-159.818
0.964	-202.270
1.071	-249.716
1.179	-302.156
1.286	-359.590
1.393	-422.019
1.500	-489.442
1.607	-561.860
1.714	-639.272
1.821	-721.678
1.929	-809.078
2.036	-901.473
2.143	-998.862
2.250	-1101.245
2.357	-1208.623
2.464	-1320.995
2.571	-1438.361
2.679	-1560.722
2.786	-1688.077
2.893	-1820.426
3.000	-1957.770
3.117	-1605.431
3.233	-1259.015
3.350	-918.520
3.467	-583.947
3.583	-255.296
3.700	67.434
3.817	384.242
3.933	695.129
4.050	1000.094
4.167	1299.137
4.283	1592.259
4.400	1879.459
4.517	2160.737
4.633	2436.094
4.750	2705.529
4.867	2969.042
4.983	3226.634
5.100	3478.304
5.217	3724.052
5.333	3963.879
5.450	4197.784
5.567	4425.768
5.683	4647.830
5.800	4863.970
5.917	5074.188
6.033	5278.485
6.150	5476.860
6.267	5669.314
6.383	5855.846
6.500	6036.456
6.617	6211.145
6.733	6379.912
6.850	6542.757
6.967	6699.681
7.083	6850.683
7.200	6995.763
7.317	7134.922
7.433	7268.159
7.550	7395.475
7.667	7516.868
7.783	7632.340
7.900	7741.891
8.017	7845.520
8.133	7943.227
8.250	8035.013
8.367	8120.876
8.483	8200.819
8.600	8274.839
8.717	8342.938
8.833	8405.116
8.950	8461.371
9.067	8511.705
9.183	8556.118
9.300	8594.608
9.417	8627.177
9.533	8653.825
9.650	8674.551
9.767	8689.355
9.883	8698.237
10.000	8701.198
10.119	8698.136
10.237	8688.950
10.356	8673.640
10.475	8652.205
10.593	8624.647
10.712	8590.965
10.831	8551.158
10.949	8505.227
11.068	8453.173
11.186	8394.994
11.305	8330.691
11.424	8260.264
11.542	8183.713
11.661	8101.038
11.780	8012.239
11.898	7917.315
12.017	7816.268
12.136	7709.096
12.254	7595.801
12.373	7476.381
12.492	7350.838
12.610	7219.170
12.729	7081.378
12.847	6937.462
12.966	6787.422
13.085	6631.258
13.203	6468.970
13.322	6300.557
13.441	6126.021
13.559	5945.360
13.678	5758.576
13.797	5565.667
13.915	5366.634
14.034	5161.478
14.153	4950.197
14.271	4732.792
14.390	4509.263
14.508	4279.610
14.627	4043.832
14.746	3801.931
14.864	3553.906
14.983	3299.756
15.102	3039.483
15.220	2773.085
15.339	2500.563
15.458	2221.918
15.576	1937.148
15.695	1646.254
15.814	1349.236
15.932	1046.093
16.051	736.827
16.169	421.437
16.288	99.923
16.407	-227.716
16.525	-561.478
16.644	-901.365
16.763	-1247.376
16.881	-1599.511
17.000	-1957.770
17.120	-1804.280
17.240	-1657.056
17.360	-1516.097
17.480	-1381.402
17.600	-1252.973
17.720	-1130.808
17.840	-1014.908
17.960	-905.273
18.080	-801.902
18.200	-704.797
18.320	-613.957
18.440	-529.381
18.560	-451.070
18.680	-379.024
18.800	-313.243
18.920	-253.727
19.040	-200.476
19.160	-153.489
19.280	-112.768
19.400	-78.311
19.520	-50.119
19.640	-28.192
19.760	-12.530
19.880	-3.132
20.000	0.000
